circuito;nombre_circuito;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
10;SANTA FE (PARQUE SUR);629;335;589;222;77;173;46;84;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);619;305;536;213;87;167;38;76;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
30; SANTA FE (PUERTO);293;170;269;84;55;57;17;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
40;SANTA FE (CENTRO);527;266;445;156;83;76;43;73;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
50;SANTA FE (CONSTITUYENTES);504;236;409;154;84;89;44;61;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
60;SANTA FE (UNIV.NAC. DEL LITORAL);578;256;470;212;86;77;44;70;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);1731;1278;1120;533;412;209;101;401;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);939;834;751;339;276;159;61;178;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
90;SANTA FE (CANDIOTI);1445;622;1258;525;165;247;117;197;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);1584;731;1219;580;186;236;111;191;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
