circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
10;SANTA FE (PARQUE SUR);E.P.I.Nº1001 SAN FRANCISCO;SAN MARTIN 1326;348;191;305;118;37;91;26;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
10;SANTA FE (PARQUE SUR);ESC. PRIM. Nº2 M.BELGRANO;AMENABAR 2727;281;144;284;104;40;82;20;46;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);E.E.T.P.Nº480 M.BELGRANO;MORENO 3054;237;105;217;86;25;64;15;28;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);E.P.I.Nº1307 DRA.SARA FAISAL;CRUZ ROJA 1867;185;83;149;55;22;51;12;16;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
20;SANTA FE (TEATRO MUNICIPAL);FAC.DE CIENCIAS ECONOMICAS;MORENO 2557;197;117;170;72;40;52;11;32;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
30; SANTA FE (PUERTO);E.E.S.O. Nº440 SIMON DE IRIONDO;MENDOZA 3051;293;170;269;84;55;57;17;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
40;SANTA FE (CENTRO);"E.E.S. ORIENTADA NRO 442 ""JUANA DEL PINO""";4 DE ENERO 2806;241;129;211;69;39;30;18;35;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
40;SANTA FE (CENTRO);ESC.NOR.SUP.COM. Nº46 D.G.SILVA;4 DE ENERO 2806;286;137;234;87;44;46;25;38;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
50;SANTA FE (CONSTITUYENTES);ESC.IND.SUP. ANEXA A.F.I.Q.;JUNIN 2850;281;139;220;84;46;52;23;39;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
50;SANTA FE (CONSTITUYENTES);FAC.DE INGENIERIA QUIMICA;S.DEL ESTERO 2829;223;97;189;70;38;37;21;22;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
60;SANTA FE (UNIV.NAC. DEL LITORAL);ESC. PRIM. Nº9 J.J. PASO;SAN MARTIN 3459;265;111;200;89;34;26;16;31;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
60;SANTA FE (UNIV.NAC. DEL LITORAL);FAC.DE CS.JURIDICAS Y SOCIALES;CANDIDO PUJATO 2751;313;145;270;123;52;51;28;39;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.E.S.O. Nº 511 GRAL.JUANA AZURDUY;ENTRE RIOS 3642;230;171;108;61;48;36;9;49;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.E.S.O. Nº261 JOSE HERNANDEZ;AVDA GRAL LOPEZ 3217;348;266;212;133;85;49;30;105;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);E.P.I.Nº1116 SAN CAYETANO;AVDA J J PASO 3150;381;277;266;118;80;53;25;57;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);ESC. PRIM. Nº570 PASCUAL ECHAGUE;ENTRE RIOS 3642;410;309;260;113;99;34;23;87;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
70;SANTA FE (SAN LORENZO);ESC. PRIM. Nº8 CRISTOBAL COLON;FRANCIA 1557;362;255;274;108;100;37;14;103;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC. PRIM. Nº471 JUAN ARZENO;SAN JUAN 1801;350;320;299;137;117;67;21;69;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC.NORMAL PRIM.SUP.32 GRAL.S.MARTIN;SAAVEDRA 1751;254;255;206;95;76;37;25;49;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
80;SANTA FE (R.S.PEÑA);ESC.NORMAL.SEC.SUP.32 GRAL.S.MARTIN;SAAVEDRA 1751;335;259;246;107;83;55;15;60;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
90;SANTA FE (CANDIOTI);E.E.T.P. Nº 479 DR.MANUEL PIZARRO;AVDA GRAL PAZ 4250;258;95;209;99;32;50;22;40;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;MÁS PARA SANTA FE;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);E.P.I Nº 1034 LA SALLE JOBSON;PASAJE HERMANOS DE LA SALLE 3251;334;182;329;137;42;68;27;41;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);E.P.I. Nº 1244 CRIST.E.DR.O.ABDALA;BELGRANO 3845;173;89;156;74;21;23;18;32;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);ESC. PRIM. Nº6 M.MORENO;ITUZAINGO 1814;278;111;247;89;33;40;24;33;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
90;SANTA FE (CANDIOTI);INST. SAN JOSE ADORATRICES;BV GALVEZ 1978;402;145;317;126;37;66;26;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);E.E.S.O. Nº263 ALFONSO GRILLI;BALCARCE 1251;182;70;156;76;18;25;13;20;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;MÁS PARA SANTA FE;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
100;SANTA FE (PUENTE COLGANTE);ESC. Nº 1190 IV CENT.DE SANTA FE;BV GALVEZ 1375;425;222;344;150;44;54;22;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
